Frame: 5 || Prediction: 999 || Confidence: 0.00 || PSafe: 0.47 
Frame: 6 || Prediction: 999 || Confidence: 18.69 || PSafe: 0.59 
Frame: 7 || Prediction: 999 || Confidence: 21.41 || PSafe: 0.66 
Frame: 8 || Prediction: 999 || Confidence: 19.77 || PSafe: 0.71 
Frame: 9 || Prediction: 999 || Confidence: 21.26 || PSafe: 0.74 
Frame: 10 || Prediction: 999 || Confidence: 34.13 || PSafe: 0.74 
Frame: 11 || Prediction: 999 || Confidence: 36.04 || PSafe: 0.72 
Frame: 12 || Prediction: 999 || Confidence: 31.60 || PSafe: 0.73 
Frame: 13 || Prediction: 999 || Confidence: 32.01 || PSafe: 0.73 
Frame: 14 || Prediction: 999 || Confidence: 31.63 || PSafe: 0.74 
Frame: 15 || Prediction: 999 || Confidence: 32.29 || PSafe: 0.74 
Frame: 16 || Prediction: 999 || Confidence: 34.61 || PSafe: 0.73 
Frame: 17 || Prediction: 999 || Confidence: 31.94 || PSafe: 0.74 
Frame: 18 || Prediction: 999 || Confidence: 38.51 || PSafe: 0.71 
Frame: 19 || Prediction: 999 || Confidence: 46.38 || PSafe: 0.65 
Frame: 20 || Prediction: 999 || Confidence: 38.13 || PSafe: 0.64 
Frame: 21 || Prediction: 999 || Confidence: 36.91 || PSafe: 0.63 
Frame: 22 || Prediction: 999 || Confidence: 40.36 || PSafe: 0.61 
Frame: 23 || Prediction: 999 || Confidence: 35.34 || PSafe: 0.61 
Frame: 24 || Prediction: 999 || Confidence: 37.33 || PSafe: 0.60 
Frame: 25 || Prediction: 999 || Confidence: 36.85 || PSafe: 0.60 
Frame: 26 || Prediction: 999 || Confidence: 37.67 || PSafe: 0.59 
Frame: 27 || Prediction: 999 || Confidence: 67.17 || PSafe: 0.54 
Frame: 28 || Prediction: 999 || Confidence: 44.34 || PSafe: 0.51 
Frame: 29 || Prediction: 999 || Confidence: 45.84 || PSafe: 0.49 
Frame: 30 || Prediction: 999 || Confidence: 45.22 || PSafe: 0.47 
Frame: 31 || Prediction: 999 || Confidence: 44.77 || PSafe: 0.45 
Frame: 32 || Prediction: 999 || Confidence: 44.99 || PSafe: 0.43 
Frame: 33 || Prediction: 999 || Confidence: 43.29 || PSafe: 0.42 
Frame: 34 || Prediction: 999 || Confidence: 42.56 || PSafe: 0.41 
Frame: 35 || Prediction: 999 || Confidence: 41.45 || PSafe: 0.41 
Frame: 36 || Prediction: 999 || Confidence: 39.69 || PSafe: 0.40 
Frame: 37 || Prediction: 999 || Confidence: 40.26 || PSafe: 0.40 
Frame: 38 || Prediction: 999 || Confidence: 39.87 || PSafe: 0.40 
Frame: 39 || Prediction: 999 || Confidence: 39.64 || PSafe: 0.39 
Frame: 40 || Prediction: 999 || Confidence: 40.11 || PSafe: 0.39 
Frame: 41 || Prediction: 999 || Confidence: 39.84 || PSafe: 0.39 
Frame: 42 || Prediction: 999 || Confidence: 39.62 || PSafe: 0.38 
Frame: 43 || Prediction: 999 || Confidence: 40.04 || PSafe: 0.38 
Frame: 44 || Prediction: 999 || Confidence: 39.78 || PSafe: 0.38 
Frame: 45 || Prediction: 999 || Confidence: 40.25 || PSafe: 0.38 
Frame: 46 || Prediction: 999 || Confidence: 41.03 || PSafe: 0.37 
Frame: 47 || Prediction: 999 || Confidence: 39.30 || PSafe: 0.37 
Frame: 48 || Prediction: 999 || Confidence: 32.73 || PSafe: 0.38 
Frame: 49 || Prediction: 999 || Confidence: 31.26 || PSafe: 0.38 
Frame: 50 || Prediction: 999 || Confidence: 29.73 || PSafe: 0.39 
Frame: 51 || Prediction: 999 || Confidence: 32.53 || PSafe: 0.40 
Frame: 52 || Prediction: 999 || Confidence: 28.95 || PSafe: 0.40 
Frame: 53 || Prediction: 999 || Confidence: 26.43 || PSafe: 0.41 
Frame: 54 || Prediction: 999 || Confidence: 31.28 || PSafe: 0.42 
Frame: 55 || Prediction: 999 || Confidence: 31.52 || PSafe: 0.42 
Frame: 56 || Prediction: 999 || Confidence: 29.20 || PSafe: 0.43 
Frame: 57 || Prediction: 999 || Confidence: 27.42 || PSafe: 0.44 
Frame: 58 || Prediction: 999 || Confidence: 29.58 || PSafe: 0.44 
Frame: 59 || Prediction: 999 || Confidence: 31.74 || PSafe: 0.45 
Frame: 60 || Prediction: 999 || Confidence: 35.70 || PSafe: 0.45 
Frame: 61 || Prediction: 999 || Confidence: 37.11 || PSafe: 0.45 
Frame: 62 || Prediction: 999 || Confidence: 35.41 || PSafe: 0.45 
Frame: 63 || Prediction: 999 || Confidence: 31.88 || PSafe: 0.45 
Frame: 64 || Prediction: 999 || Confidence: 30.75 || PSafe: 0.46 
Frame: 65 || Prediction: 999 || Confidence: 31.85 || PSafe: 0.46 
Frame: 66 || Prediction: 999 || Confidence: 32.28 || PSafe: 0.47 
Frame: 67 || Prediction: 999 || Confidence: 32.18 || PSafe: 0.47 
Frame: 68 || Prediction: 999 || Confidence: 30.28 || PSafe: 0.47 
Frame: 69 || Prediction: 999 || Confidence: 29.86 || PSafe: 0.48 
Frame: 70 || Prediction: 999 || Confidence: 32.49 || PSafe: 0.48 
Frame: 71 || Prediction: 999 || Confidence: 31.36 || PSafe: 0.49 
Frame: 72 || Prediction: 999 || Confidence: 27.84 || PSafe: 0.49 
Frame: 73 || Prediction: 999 || Confidence: 30.01 || PSafe: 0.50 
Frame: 74 || Prediction: 999 || Confidence: 30.83 || PSafe: 0.50 
Frame: 75 || Prediction: 999 || Confidence: 30.87 || PSafe: 0.50 
Frame: 76 || Prediction: 999 || Confidence: 30.29 || PSafe: 0.51 
Frame: 77 || Prediction: 999 || Confidence: 30.36 || PSafe: 0.51 
Frame: 78 || Prediction: 999 || Confidence: 29.43 || PSafe: 0.51 
Frame: 79 || Prediction: 999 || Confidence: 28.22 || PSafe: 0.52 
Frame: 80 || Prediction: 999 || Confidence: 24.82 || PSafe: 0.52 
Frame: 81 || Prediction: 999 || Confidence: 23.12 || PSafe: 0.53 
Frame: 82 || Prediction: 999 || Confidence: 25.20 || PSafe: 0.54 
Frame: 83 || Prediction: 999 || Confidence: 25.26 || PSafe: 0.54 
Frame: 84 || Prediction: 999 || Confidence: 21.29 || PSafe: 0.55 
Frame: 85 || Prediction: 999 || Confidence: 22.00 || PSafe: 0.55 
